מצב עסקה,תאריך יצירה,סכום לחיוב,האם ליצור חשבונית,שם מוצר,ערך משתמש להחזרה
הצלחה,14/11/2019 22:14,110,מסומן,2000 קניית עוקבים באינסטגרם ב-110₪,880
הצלחה,27/11/2019 00:09,110,מסומן,2000 קניית עוקבים באינסטגרם ב-110₪,1050
הצלחה,09/12/2019 14:56,110,מסומן,2000 קניית עוקבים באינסטגרם ב-110₪,1209
הצלחה,09/12/2019 15:02,110,מסומן,2000 קניית עוקבים באינסטגרם ב-110₪,1211
הצלחה,29/11/2019 21:48,121,מסומן,2200 קניית עוקבים באינסטגרם ב-121₪,1084
הצלחה,06/12/2019 14:08,126,מסומן,500 עוקבים ישראלים באינסטגרם ב-126₪,1171
הצלחה,11/12/2019 10:53,126,מסומן,500 עוקבים ישראלים באינסטגרם ב-126₪,1251
הצלחה,03/11/2019 06:37,135,מסומן,1000 קניית עוקבים לדפים עסקיים בפייסבוק ב-135₪,743
הצלחה,10/12/2019 19:45,151,מסומן,600 עוקבים ישראלים באינסטגרם ב-151₪,1241
הצלחה,16/11/2019 23:23,154,מסומן,3100 קניית עוקבים באינסטגרם ב-154₪,920
הצלחה,19/11/2019 10:03,154,מסומן,3100 קניית עוקבים באינסטגרם ב-154₪,947
הצלחה,12/11/2019 22:41,184,מסומן,3700 קניית עוקבים באינסטגרם ב-184₪,855
הצלחה,06/11/2019 11:21,198,מסומן,4000 קניית עוקבים באינסטגרם ב-198₪,780
